processor_millis; SDS011_pm25; SDS011_pm10; BME680_temperature; BME680_pressure; BME680_humidity; BME680_gasResistance;CCS811_C02; CCS811_TVOC;GPS_year; GPS_month; GPS_day; GPS_hour; GPS_minute; GPS_seconds; GPS_longitude; GPS_latitude; GPS_noSaltilites; GPS_fix;CozIr_Co2; CozIr_Co2_filtered;SN1_WE_u; SN1_AE_u; SN2_WE_u; SN2_AE_u; NO2; O3; PT1000 temp;Errors
0;1.63;5.16;26-mar;0;0;0;0;0;22;3;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
86400000;1.83;6.21;27-mar;0;0;0;0;0;22;3;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
172800000;3.87;10.51;28-mar;0;0;0;0;0;22;3;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
259200000;0.73;3.47;29-mar;0;0;0;0;0;22;3;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
345600000;0.96;3.86;30-mar;0;0;0;0;0;22;3;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
432000000;1.17;4.33;31-mar;0;0;0;0;0;22;3;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
518400000;0.66;2.99;01-apr;0;0;0;0;0;22;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
604800000;1.35;4.03;02-apr;0;0;0;0;0;22;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
691200000;1.14;4.43;03-apr;0;0;0;0;0;22;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
777600000;0.56;2.72;04-apr;0;0;0;0;0;22;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
864000000;0.92;3.26;05-apr;0;0;0;0;0;22;4;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
950400000;0.73;2.88;06-apr;0;0;0;0;0;22;4;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
